title,genre,budget,gross,ROI,segment
Curse of the Pink Panther,Comedy,11000000.0,4491986.0,-0.5916376363636363,Other
D.C. Cab,Action,8000000.0,16134627.0,1.016828375,Other
Beyond the Limit,Drama,11800000.0,5997566.0,-0.49173169491525426,Other
The Survivors,Comedy,12000000.0,14000000.0,0.16666666666666666,Other
The Lonely Lady,Drama,5000000.0,1223200.0,-0.75536,Other
The Man Who Loved Women,Comedy,19000000.0,10964740.0,-0.4229084210526316,Other
Nightmares,Horror,6000000.0,6670680.0,0.11178,Other
Deal of the Century,Comedy,10000000.0,10369581.0,0.0369581,Other
Eddie Macon's Run,Action,5000000.0,1262691.0,-0.7474618,Other
Baby It's You,Comedy,3000000.0,1867792.0,-0.37740266666666666,Other
Love Letters,Drama,550000.0,5269990.0,8.5818,Indie Hit
Get Crazy,Comedy,5500000.0,1645711.0,-0.7007798181818182,Other
Nate and Hayes,Action,12000000.0,1963756.0,-0.8363536666666667,Other
Getting It on,Comedy,220000.0,975414.0,3.4337,Indie Hit
Lianna,Drama,300000.0,1530839.0,4.102796666666666,Indie Hit
Lovesick,Comedy,10100000.0,10171304.0,0.00705980198019802,Other
Running Brave,Biography,8000000.0,3000000.0,-0.625,Other
Trenchcoat,Comedy,5000000.0,4304286.0,-0.1391428,Other
My Brother's Wedding,Drama,50000.0,26177.0,-0.47646,Other
The Terminator,Action,6400000.0,78371200.0,11.2455,Indie Hit
Dune,Action,40000000.0,30925690.0,-0.22685775,Failure
Ghostbusters,Action,30000000.0,296187079.0,8.872902633333334,Blockbuster
The Karate Kid,Action,8000000.0,91119319.0,10.389914875,Indie Hit
Once Upon a Time in America,Crime,30000000.0,5473212.0,-0.8175596,Failure
Police Academy,Comedy,4500000.0,81198894.0,17.044198666666666,Indie Hit
Indiana Jones and the Temple of Doom,Action,28000000.0,333107271.0,10.89668825,Blockbuster
Body Double,Crime,10000000.0,8801940.0,-0.119806,Other
A Nightmare on Elm Street,Horror,1800000.0,25507137.0,13.170631666666667,Indie Hit
Amadeus,Biography,18000000.0,52066791.0,1.8925995,Other
Beverly Hills Cop,Action,14000000.0,316360478.0,21.597177,Blockbuster
Red Dawn,Action,17000000.0,38376497.0,1.257441,Other
The NeverEnding Story,Adventure,27000000.0,20251411.0,-0.24994774074074075,Failure
Footloose,Drama,8200000.0,80039064.0,8.760861463414635,Indie Hit
Revenge of the Nerds,Comedy,8000000.0,40874452.0,4.1093065,Indie Hit
Gremlins,Comedy,11000000.0,153633143.0,12.966649363636364,Indie Hit
Romancing the Stone,Action,10000000.0,86572238.0,7.6572238,Indie Hit
Streets of Fire,Action,14500000.0,8089290.0,-0.44211793103448277,Other
Sixteen Candles,Comedy,6500000.0,23686027.0,2.644004153846154,Other
This Is Spinal Tap,Comedy,2500000.0,4736202.0,0.8944808,Other
Top Secret!,Comedy,9000000.0,20458340.0,1.2731488888888889,Other
Conan the Destroyer,Action,18000000.0,31042035.0,0.7245575,Other
Children of the Corn,Horror,800000.0,14568989.0,17.21123625,Indie Hit
The Last Starfighter,Action,15000000.0,28733290.0,0.9155526666666667,Other
Splash,Comedy,8000000.0,69821334.0,7.72766675,Indie Hit
Blood Simple,Crime,1500000.0,4228292.0,1.8188613333333334,Other
The Natural,Drama,28000000.0,47951979.0,0.7125706785714285,Other
Bachelor Party,Comedy,5000000.0,38435947.0,6.6871894,Indie Hit
Nausicaä of the Valley of the Wind,Animation,1000000.0,8736506.0,7.736506,Indie Hit
Friday the 13th: the Final Chapter,Horror,2600000.0,32980880.0,11.684953846153846,Indie Hit
Against All Odds,Action,13000000.0,21689062.0,0.6683893846153847,Other
Supergirl,Action,35000000.0,14296438.0,-0.5915303428571429,Failure
The Bounty,Adventure,25000000.0,8613462.0,-0.65546152,Failure
Firestarter,Action,15000000.0,17080167.0,0.1386778,Other
C.H.U.D.,Horror,1250000.0,4654423.0,2.7235384,Indie Hit
The Woman in Red,Comedy,9000000.0,25348610.0,1.8165122222222223,Other
Star Trek III: The Search for Spock,Action,17000000.0,76471046.0,3.4982968235294116,Indie Hit
Repo Man,Action,1500000.0,129000.0,-0.914,Other
2010: the Year We Make Contact,Adventure,28000000.0,40400657.0,0.44288060714285715,Other
The Killing Fields,Biography,14400000.0,34700291.0,1.4097424305555555,Other
The Cotton Club,Crime,58000000.0,25928721.0,-0.5529530862068965,Failure
Starman,Romance,22000000.0,28744356.0,0.30656163636363637,Other
Night of the Comet,Comedy,700000.0,14418922.0,19.59846,Indie Hit
The Philadelphia Experiment,Adventure,21000000.0,8103330.0,-0.6141271428571429,Failure
Bolero,Comedy,7000000.0,8914881.0,0.2735544285714286,Other
Cannonball Run II,Action,20000000.0,28078073.0,0.40390365,Other
Stranger Than Paradise,Comedy,90000.0,2436000.0,26.066666666666666,Indie Hit
The Ice Pirates,Action,9000000.0,14255801.0,0.5839778888888889,Other
A Passage to India,Adventure,16000000.0,27201487.0,0.7000929375,Other
Purple Rain,Drama,7200000.0,70263155.0,8.758771527777778,Indie Hit
The Hotel New Hampshire,Comedy,7500000.0,5142858.0,-0.3142856,Other
Sheena,Adventure,25000000.0,5778353.0,-0.76886588,Failure
Missing in Action,Action,2550000.0,22812411.0,7.946043529411765,Indie Hit
"Greystoke: The Legend of Tarzan, Lord of the Apes",Adventure,30000000.0,45858563.0,0.5286187666666666,Other
Falling in Love,Drama,12000000.0,11129057.0,-0.07257858333333334,Other
Birdy,Drama,12000000.0,1455045.0,-0.87874625,Other
The Company of Wolves,Drama,2000000.0,4389334.0,1.194667,Other
Racing with the Moon,Comedy,6500000.0,6045647.0,-0.06990046153846154,Other
"Silent Night, Deadly Night",Horror,1065000.0,2491460.0,1.3393990610328639,Other
The Pope of Greenwich Village,Action,8000000.0,6836201.0,-0.145474875,Other
Rhinestone,Comedy,28000000.0,21435321.0,-0.23445282142857143,Failure
Swing Shift,Drama,15000000.0,6650206.0,-0.5566529333333333,Other
Beat Street,Drama,9500000.0,16595791.0,0.7469253684210526,Other
The Razor's Edge,Drama,13000000.0,6551987.0,-0.496001,Other
Moscow on the Hudson,Comedy,13000000.0,25068724.0,0.9283633846153846,Other
The Evil That Men Do,Action,4600000.0,13102025.0,1.848266304347826,Other
Firstborn,Drama,8000000.0,6250994.0,-0.21862575,Other
Teachers,Comedy,9000000.0,27774237.0,2.0860263333333333,Other
The River,Drama,18000000.0,11489982.0,-0.36166766666666667,Other
A Soldier's Story,Crime,6000000.0,21821347.0,2.6368911666666666,Other
Irreconcilable Differences,Comedy,6000000.0,12414210.0,1.069035,Other
City Heat,Action,25000000.0,38348988.0,0.53395952,Other
Flashpoint,Action,10000000.0,3854833.0,-0.6145167,Other
Lust in the Dust,Comedy,3000000.0,727639.0,-0.7574536666666667,Other
Thief of Hearts,Crime,9000000.0,10435015.0,0.15944611111111112,Other
The Brother from Another Planet,Comedy,350000.0,3677209.0,9.50631142857143,Indie Hit
Broadway Danny Rose,Comedy,8000000.0,10600497.0,0.325062125,Other
Best Defense,Comedy,18000000.0,19265302.0,0.07029455555555555,Other
Micki + Maude,Comedy,15100000.0,26080861.0,0.7272093377483444,Other
Protocol,Comedy,12000000.0,26186631.0,1.18221925,Other
Choose Me,Comedy,700000.0,2490233.0,2.5574757142857143,Other
Unfaithfully Yours,Comedy,12000000.0,19928200.0,0.6606833333333333,Other
Impulse,Horror,10000000.0,2773433.0,-0.7226567,Other
Mrs. Soffel,Drama,11000000.0,4385312.0,-0.6013352727272727,Other
Give My Regards to Broad Street,Drama,9000000.0,1393501.0,-0.8451665555555555,Other
Finders Keepers,Comedy,7000000.0,1467396.0,-0.790372,Other
Crackers,Adventure,12000000.0,129268.0,-0.9892276666666666,Other
Mike's Murder,Drama,6300000.0,1059966.0,-0.8317514285714286,Other
The Bear,Biography,221000.0,2687148.0,11.159040723981901,Indie Hit
Almost You,Comedy,1000000.0,95000.0,-0.905,Other
Weird Science,Comedy,7500000.0,38934048.0,4.1912064,Indie Hit
The Goonies,Adventure,19000000.0,63980721.0,2.3674063684210527,Other
Back to the Future,Adventure,19000000.0,381906762.0,19.100355894736843,Blockbuster
To Live and Die in L.A.,Action,6000000.0,17307019.0,1.8845031666666667,Other
Clue,Comedy,15000000.0,14643997.0,-0.023733533333333334,Other
The Breakfast Club,Comedy,1000000.0,51525171.0,50.525171,Indie Hit
Cocoon,Comedy,17500000.0,85313124.0,3.875035657142857,Indie Hit
Rambo: First Blood Part II,Action,44000000.0,300400432.0,5.827282545454546,Blockbuster
Mask,Biography,8000000.0,48230162.0,5.02877025,Indie Hit
Legend,Adventure,24500000.0,15502112.0,-0.36726073469387754,Failure
The Return of the Living Dead,Comedy,4000000.0,14237880.0,2.55947,Other
St. Elmo's Fire,Drama,10000000.0,37803872.0,2.7803872,Indie Hit
Brazil,Drama,15000000.0,9949953.0,-0.3366698,Other
Pale Rider,Drama,6900000.0,41410568.0,5.001531594202898,Indie Hit
Real Genius,Comedy,8000000.0,12952019.0,0.619002375,Other
Commando,Action,10000000.0,57491000.0,4.7491,Indie Hit
Witness,Crime,12000000.0,68706993.0,4.72558275,Indie Hit
The Color Purple,Drama,15000000.0,98467863.0,5.5645242,Indie Hit
Silverado,Action,26000000.0,32192570.0,0.23817576923076922,Other
Rocky IV,Drama,30000000.0,300473716.0,9.015790533333334,Blockbuster
Ran,Action,11500000.0,4164283.0,-0.6378884347826087,Other
Ladyhawke,Adventure,20000000.0,18432000.0,-0.0784,Other
A Room with a View,Drama,3000000.0,21041453.0,6.013817666666666,Indie Hit
Red Sonja,Action,17900000.0,6951415.0,-0.6116527932960893,Other
Fright Night,Fantasy,9000000.0,24922237.0,1.7691374444444445,Other
Explorers,Adventure,25000000.0,9873044.0,-0.60507824,Failure
Mad Max Beyond Thunderdome,Action,10000000.0,36230219.0,2.6230219,Other
After Hours,Comedy,4500000.0,10609321.0,1.357626888888889,Other
A View to a Kill,Action,30000000.0,50327960.0,0.6775986666666667,Other
Fletch,Comedy,8000000.0,59612888.0,6.451611,Indie Hit
Perfect,Drama,19000000.0,12918858.0,-0.32006010526315787,Other
A Nightmare on Elm Street 2: Freddy's Revenge,Horror,3000000.0,29999213.0,8.999737666666666,Indie Hit
Lifeforce,Action,25000000.0,11603545.0,-0.5358582,Failure
Pee-wee's Big Adventure,Adventure,6000000.0,40940662.0,5.823443666666667,Indie Hit
Out of Africa,Biography,31000000.0,227514205.0,6.339167903225807,Other
Day of the Dead,Horror,3500000.0,5000000.0,0.42857142857142855,Other
